year,state,population
1970,Maryland,3923897
1971,Maryland,4018324
1972,Maryland,4073499
1973,Maryland,4097974
1974,Maryland,4118815
1975,Maryland,4139096
1976,Maryland,4150539
1977,Maryland,4169595
1978,Maryland,4183603
1979,Maryland,4191160
1980,Maryland,4227643
1981,Maryland,4261905
1982,Maryland,4282923
1983,Maryland,4313327
1984,Maryland,4365243
1985,Maryland,4413071
1986,Maryland,4486957
1987,Maryland,4565557
1988,Maryland,4657904
1989,Maryland,4727301
1990,Maryland,4797431
1991,Maryland,4856176
1992,Maryland,4902545
1993,Maryland,4942504
1994,Maryland,4985411
1995,Maryland,5023650
1996,Maryland,5057142
1997,Maryland,5092914
1998,Maryland,5130072
1999,Maryland,5171634
2000,Maryland,5311034
2001,Maryland,5374691
2002,Maryland,5440389
2003,Maryland,5496269
2004,Maryland,5546935
2005,Maryland,5592379
2006,Maryland,5627367
2007,Maryland,5653408
2008,Maryland,5684965
2009,Maryland,5730388
2010,Maryland,5788645
2011,Maryland,5839419
2012,Maryland,5886992
2013,Maryland,5923188
2014,Maryland,5957283
2015,Maryland,5985562
2016,Maryland,6003323
2017,Maryland,6023868
2018,Maryland,6035802
2019,Maryland,6045680
1900,Maine,695000
1901,Maine,699000
1902,Maine,703000
1903,Maine,709000
1904,Maine,719000
1905,Maine,723000
1906,Maine,729000
1907,Maine,731000
1908,Maine,735000
1909,Maine,740000
1910,Maine,745000
1911,Maine,751000
1912,Maine,753000
1913,Maine,763000
1914,Maine,772000
1915,Maine,774000
1916,Maine,775000
1917,Maine,777000
1918,Maine,760000
1919,Maine,762000
1920,Maine,771000
1921,Maine,775000
1922,Maine,778000
1923,Maine,781000
1924,Maine,788000
1925,Maine,792000
1926,Maine,793000
1927,Maine,796000
1928,Maine,797000
1929,Maine,797000
1930,Maine,800000
1931,Maine,807000
1932,Maine,815000
1933,Maine,821000
1934,Maine,829000
1935,Maine,836000
1936,Maine,840000
1937,Maine,842000
1938,Maine,843000
1939,Maine,846000
1940,Maine,849000
1941,Maine,852000
1942,Maine,839000
1943,Maine,806000
1944,Maine,801000
1945,Maine,800000
1946,Maine,832000
1947,Maine,854000
1948,Maine,878000
1949,Maine,903000
1950,Maine,917000
1951,Maine,916000
1952,Maine,915000
1953,Maine,913000
1954,Maine,927000
1955,Maine,934000
1956,Maine,938000
1957,Maine,943000
1958,Maine,944000
1959,Maine,957000
1960,Maine,975000
1961,Maine,995000
1962,Maine,994000
1963,Maine,993000
1964,Maine,993000
1965,Maine,997000
1966,Maine,999000
1967,Maine,1004000
1968,Maine,994000
1969,Maine,992000
1970,Maine,993722
1971,Maine,1015390
1972,Maine,1034292
1973,Maine,1045655
1974,Maine,1059040
1975,Maine,1071995
1976,Maine,1088412
1977,Maine,1103578
1978,Maine,1113566
1979,Maine,1122563
1980,Maine,1126860
1981,Maine,1133033
1982,Maine,1136684
1983,Maine,1144772
1984,Maine,1155635
1985,Maine,1162936
1986,Maine,1170126
1987,Maine,1184574
1988,Maine,1203840
1989,Maine,1219961
1990,Maine,1231296
1991,Maine,1235439
1992,Maine,1235748
1993,Maine,1238256
1994,Maine,1237687
1995,Maine,1237438
1996,Maine,1241436
1997,Maine,1245215
1998,Maine,1247554
1999,Maine,1253040
2000,Maine,1277072
2001,Maine,1285692
2002,Maine,1295960
2003,Maine,1306513
2004,Maine,1313688
2005,Maine,1318787
2006,Maine,1323619
2007,Maine,1327040
2008,Maine,1330509
2009,Maine,1329590
2010,Maine,1327629
2011,Maine,1328284
2012,Maine,1327729
2013,Maine,1328009
2014,Maine,1330513
2015,Maine,1328262
2016,Maine,1331317
2017,Maine,1334612
2018,Maine,1339057
2019,Maine,1344212
1900,Michigan,2423000
1901,Michigan,2450000
1902,Michigan,2477000
1903,Michigan,2505000
1904,Michigan,2534000
1905,Michigan,2579000
1906,Michigan,2626000
1907,Michigan,2693000
1908,Michigan,2722000
1909,Michigan,2771000
1910,Michigan,2832000
1911,Michigan,2916000
1912,Michigan,2997000
1913,Michigan,3101000
1914,Michigan,3183000
1915,Michigan,3263000
1916,Michigan,3353000
1917,Michigan,3451000
1918,Michigan,3499000
1919,Michigan,3591000
1920,Michigan,3723000
1921,Michigan,3872000
1922,Michigan,3942000
1923,Michigan,4063000
1924,Michigan,4214000
1925,Michigan,4331000
1926,Michigan,4451000
1927,Michigan,4589000
1928,Michigan,4665000
1929,Michigan,4795000
1930,Michigan,4834000
1931,Michigan,4798000
1932,Michigan,4780000
1933,Michigan,4780000
1934,Michigan,4798000
1935,Michigan,4838000
1936,Michigan,4889000
1937,Michigan,4968000
1938,Michigan,5056000
1939,Michigan,5156000
1940,Michigan,5315000
1941,Michigan,5472000
1942,Michigan,5549000
1943,Michigan,5405000
1944,Michigan,5467000
1945,Michigan,5475000
1946,Michigan,5874000
1947,Michigan,6076000
1948,Michigan,6213000
1949,Michigan,6332000
1950,Michigan,6407000
1951,Michigan,6497000
1952,Michigan,6650000
1953,Michigan,6822000
1954,Michigan,7066000
1955,Michigan,7285000
1956,Michigan,7467000
1957,Michigan,7569000
1958,Michigan,7667000
1959,Michigan,7767000
1960,Michigan,7834000
1961,Michigan,7893000
1962,Michigan,7933000
1963,Michigan,8058000
1964,Michigan,8187000
1965,Michigan,8357000
1966,Michigan,8512000
1967,Michigan,8630000
1968,Michigan,8696000
1969,Michigan,8781000
1970,Michigan,8881826
1971,Michigan,8974186
1972,Michigan,9028944
1973,Michigan,9077956
1974,Michigan,9117507
1975,Michigan,9117668
1976,Michigan,9129205
1977,Michigan,9171110
1978,Michigan,9217761
1979,Michigan,9266268
1980,Michigan,9255553
1981,Michigan,9209287
1982,Michigan,9115198
1983,Michigan,9047754
1984,Michigan,9049452
1985,Michigan,9076293
1986,Michigan,9127775
1987,Michigan,9187481
1988,Michigan,9217998
1989,Michigan,9253295
1990,Michigan,9310462
1991,Michigan,9395022
1992,Michigan,9470323
1993,Michigan,9529240
1994,Michigan,9584481
1995,Michigan,9659871
1996,Michigan,9739184
1997,Michigan,9785450
1998,Michigan,9820231
1999,Michigan,9863775
2000,Michigan,9952450
2001,Michigan,9991120
2002,Michigan,10015710
2003,Michigan,10041152
2004,Michigan,10055315
2005,Michigan,10051137
2006,Michigan,10036081
2007,Michigan,10001284
2008,Michigan,9946889
2009,Michigan,9901591
2010,Michigan,9877510
2011,Michigan,9882412
2012,Michigan,9897145
2013,Michigan,9913065
2014,Michigan,9929848
2015,Michigan,9931715
2016,Michigan,9950571
2017,Michigan,9973114
2018,Michigan,9984072
2019,Michigan,9986857
1900,Minnesota,1754000
1901,Minnesota,1805000
1902,Minnesota,1862000
1903,Minnesota,1901000
1904,Minnesota,1945000
1905,Minnesota,1981000
1906,Minnesota,1987000
1907,Minnesota,1995000
1908,Minnesota,2020000
1909,Minnesota,2051000
1910,Minnesota,2086000
1911,Minnesota,2119000
1912,Minnesota,2147000
1913,Minnesota,2190000
1914,Minnesota,2234000
1915,Minnesota,2273000
1916,Minnesota,2308000
1917,Minnesota,2329000
1918,Minnesota,2291000
1919,Minnesota,2346000
1920,Minnesota,2403000
1921,Minnesota,2434000
1922,Minnesota,2451000
1923,Minnesota,2487000
1924,Minnesota,2521000
1925,Minnesota,2540000
1926,Minnesota,2560000
1927,Minnesota,2588000
1928,Minnesota,2592000
1929,Minnesota,2572000
1930,Minnesota,2576000
1931,Minnesota,2614000
1932,Minnesota,2646000
1933,Minnesota,2673000
1934,Minnesota,2695000
1935,Minnesota,2717000
1936,Minnesota,2734000
1937,Minnesota,2746000
1938,Minnesota,2753000
1939,Minnesota,2771000
1940,Minnesota,2790000
1941,Minnesota,2718000
1942,Minnesota,2662000
1943,Minnesota,2577000
1944,Minnesota,2526000
1945,Minnesota,2537000
1946,Minnesota,2734000
1947,Minnesota,2796000
1948,Minnesota,2868000
1949,Minnesota,2935000
1950,Minnesota,2997000
1951,Minnesota,3010000
1952,Minnesota,3030000
1953,Minnesota,3050000
1954,Minnesota,3113000
1955,Minnesota,3172000
1956,Minnesota,3240000
1957,Minnesota,3274000
1958,Minnesota,3313000
1959,Minnesota,3366000
1960,Minnesota,3425000
1961,Minnesota,3470000
1962,Minnesota,3513000
1963,Minnesota,3531000
1964,Minnesota,3558000
1965,Minnesota,3592000
1966,Minnesota,3617000
1967,Minnesota,3659000
1968,Minnesota,3703000
1969,Minnesota,3758000
1970,Minnesota,3806103
1971,Minnesota,3853486
1972,Minnesota,3869747
1973,Minnesota,3889332
1974,Minnesota,3903925
1975,Minnesota,3932515
1976,Minnesota,3964680
1977,Minnesota,3989364
1978,Minnesota,4015341
1979,Minnesota,4050316
1980,Minnesota,4085017
1981,Minnesota,4111728
1982,Minnesota,4131450
1983,Minnesota,4141456
1984,Minnesota,4157706
1985,Minnesota,4184302
1986,Minnesota,4205212
1987,Minnesota,4235136
1988,Minnesota,4296166
1989,Minnesota,4338057
1990,Minnesota,4387283
1991,Minnesota,4427429
1992,Minnesota,4471503
1993,Minnesota,4521709
1994,Minnesota,4566028
1995,Minnesota,4605445
1996,Minnesota,4647723
1997,Minnesota,4687726
1998,Minnesota,4726411
1999,Minnesota,4775508
2000,Minnesota,4933692
2001,Minnesota,4982796
2002,Minnesota,5018935
2003,Minnesota,5053572
2004,Minnesota,5087713
2005,Minnesota,5119598
2006,Minnesota,5163555
2007,Minnesota,5207203
2008,Minnesota,5247018
2009,Minnesota,5281203
2010,Minnesota,5310828
2011,Minnesota,5346143
2012,Minnesota,5376643
2013,Minnesota,5413479
2014,Minnesota,5451079
2015,Minnesota,5482032
2016,Minnesota,5522744
2017,Minnesota,5566230
2018,Minnesota,5606249
2019,Minnesota,5639632
1900,Missouri,3108000
1901,Missouri,3128000
1902,Missouri,3147000
1903,Missouri,3166000
1904,Missouri,3185000
1905,Missouri,3204000
1906,Missouri,3223000
1907,Missouri,3242000
1908,Missouri,3260000
1909,Missouri,3279000
1910,Missouri,3301000
1911,Missouri,3317000
1912,Missouri,3344000
1913,Missouri,3409000
1914,Missouri,3467000
1915,Missouri,3492000
1916,Missouri,3527000
1917,Missouri,3470000
1918,Missouri,3325000
1919,Missouri,3371000
1920,Missouri,3404000
1921,Missouri,3429000
1922,Missouri,3437000
1923,Missouri,3454000
1924,Missouri,3508000
1925,Missouri,3526000
1926,Missouri,3556000
1927,Missouri,3576000
1928,Missouri,3601000
1929,Missouri,3622000
1930,Missouri,3646000
1931,Missouri,3711000
1932,Missouri,3746000
1933,Missouri,3773000
1934,Missouri,3784000
1935,Missouri,3798000
1936,Missouri,3801000
1937,Missouri,3794000
1938,Missouri,3781000
1939,Missouri,3783000
1940,Missouri,3786000
1941,Missouri,3811000
1942,Missouri,3829000
1943,Missouri,3705000
1944,Missouri,3560000
1945,Missouri,3516000
1946,Missouri,3746000
1947,Missouri,3845000
1948,Missouri,3844000
1949,Missouri,3882000
1950,Missouri,3964000
1951,Missouri,4015000
1952,Missouri,3972000
1953,Missouri,4020000
1954,Missouri,4066000
1955,Missouri,4134000
1956,Missouri,4163000
1957,Missouri,4189000
1958,Missouri,4186000
1959,Missouri,4258000
1960,Missouri,4326000
1961,Missouri,4349000
1962,Missouri,4357000
1963,Missouri,4392000
1964,Missouri,4442000
1965,Missouri,4467000
1966,Missouri,4523000
1967,Missouri,4539000
1968,Missouri,4568000
1969,Missouri,4640000
1970,Missouri,4677623
1971,Missouri,4725764
1972,Missouri,4758780
1973,Missouri,4782645
1974,Missouri,4795930
1975,Missouri,4808308
1976,Missouri,4839029
1977,Missouri,4863173
1978,Missouri,4889399
1979,Missouri,4912430
1980,Missouri,4921966
1981,Missouri,4932064
1982,Missouri,4929451
1983,Missouri,4943733
1984,Missouri,4975278
1985,Missouri,5000268
1986,Missouri,5023068
1987,Missouri,5056696
1988,Missouri,5081736
1989,Missouri,5095830
1990,Missouri,5126370
1991,Missouri,5157770
1992,Missouri,5193686
1993,Missouri,5237757
1994,Missouri,5281206
1995,Missouri,5324610
1996,Missouri,5367888
1997,Missouri,5407113
1998,Missouri,5437562
1999,Missouri,5468338
2000,Missouri,5607285
2001,Missouri,5641142
2002,Missouri,5674825
2003,Missouri,5709403
2004,Missouri,5747741
2005,Missouri,5790300
2006,Missouri,5842704
2007,Missouri,5887612
2008,Missouri,5923916
2009,Missouri,5961088
2010,Missouri,5995974
2011,Missouri,6010275
2012,Missouri,6024367
2013,Missouri,6040715
2014,Missouri,6056202
2015,Missouri,6071732
2016,Missouri,6087135
2017,Missouri,6106670
2018,Missouri,6121623
2019,Missouri,6137428
1900,Mississippi,1553000
1901,Mississippi,1578000
1902,Mississippi,1603000
1903,Mississippi,1628000
1904,Mississippi,1653000
1905,Mississippi,1678000
1906,Mississippi,1703000
1907,Mississippi,1728000
1908,Mississippi,1753000
1909,Mississippi,1777000
1910,Mississippi,1802000
1911,Mississippi,1810000
1912,Mississippi,1817000
1913,Mississippi,1827000
1914,Mississippi,1832000
1915,Mississippi,1826000
1916,Mississippi,1823000
1917,Mississippi,1820000
1918,Mississippi,1813000
1919,Mississippi,1790000
1920,Mississippi,1800000
1921,Mississippi,1823000
1922,Mississippi,1836000
1923,Mississippi,1858000
1924,Mississippi,1886000
1925,Mississippi,1910000
1926,Mississippi,1935000
1927,Mississippi,1962000
1928,Mississippi,1981000
1929,Mississippi,1998000
1930,Mississippi,2006000
1931,Mississippi,1994000
1932,Mississippi,2004000
1933,Mississippi,2031000
1934,Mississippi,2050000
1935,Mississippi,2061000
1936,Mississippi,2072000
1937,Mississippi,2086000
1938,Mississippi,2127000
1939,Mississippi,2168000
1940,Mississippi,2176000
1941,Mississippi,2184000
1942,Mississippi,2210000
1943,Mississippi,2280000
1944,Mississippi,2167000
1945,Mississippi,2090000
1946,Mississippi,2064000
1947,Mississippi,2107000
1948,Mississippi,2076000
1949,Mississippi,2085000
1950,Mississippi,2176000
1951,Mississippi,2163000
1952,Mississippi,2152000
1953,Mississippi,2105000
1954,Mississippi,2064000
1955,Mississippi,2060000
1956,Mississippi,2086000
1957,Mississippi,2088000
1958,Mississippi,2086000
1959,Mississippi,2138000
1960,Mississippi,2182000
1961,Mississippi,2206000
1962,Mississippi,2243000
1963,Mississippi,2244000
1964,Mississippi,2241000
1965,Mississippi,2246000
1966,Mississippi,2245000
1967,Mississippi,2228000
1968,Mississippi,2219000
1969,Mississippi,2220000
1970,Mississippi,2216994
1971,Mississippi,2265432
1972,Mississippi,2307117
1973,Mississippi,2349546
1974,Mississippi,2378268
1975,Mississippi,2399449
1976,Mississippi,2429756
1977,Mississippi,2459201
1978,Mississippi,2487816
1979,Mississippi,2507069
1980,Mississippi,2525342
1981,Mississippi,2539036
1982,Mississippi,2556777
1983,Mississippi,2567717
1984,Mississippi,2578051
1985,Mississippi,2588102
1986,Mississippi,2593597
1987,Mississippi,2588545
1988,Mississippi,2580352
1989,Mississippi,2574269
1990,Mississippi,2577426
1991,Mississippi,2591230
1992,Mississippi,2610193
1993,Mississippi,2635574
1994,Mississippi,2663450
1995,Mississippi,2690788
1996,Mississippi,2709925
1997,Mississippi,2731826
1998,Mississippi,2751335
1999,Mississippi,2768619
2000,Mississippi,2848353
2001,Mississippi,2852994
2002,Mississippi,2858681
2003,Mississippi,2868312
2004,Mississippi,2889010
2005,Mississippi,2905943
2006,Mississippi,2904978
2007,Mississippi,2928350
2008,Mississippi,2947806
2009,Mississippi,2958774
2010,Mississippi,2970548
2011,Mississippi,2978731
2012,Mississippi,2983816
2013,Mississippi,2988711
2014,Mississippi,2990468
2015,Mississippi,2988471
2016,Mississippi,2987938
2017,Mississippi,2988510
2018,Mississippi,2981020
2019,Mississippi,2976149
1900,Montana,245000
1901,Montana,261000
1902,Montana,270000
1903,Montana,282000
1904,Montana,293000
1905,Montana,305000
1906,Montana,322000
1907,Montana,332000
1908,Montana,346000
1909,Montana,363000
1910,Montana,380000
1911,Montana,397000
1912,Montana,414000
1913,Montana,433000
1914,Montana,452000
1915,Montana,469000
1916,Montana,487000
1917,Montana,505000
1918,Montana,501000
1919,Montana,534000
1920,Montana,543000
1921,Montana,546000
1922,Montana,543000
1923,Montana,538000
1924,Montana,538000
1925,Montana,535000
1926,Montana,531000
1927,Montana,527000
1928,Montana,541000
1929,Montana,524000
1930,Montana,539000
1931,Montana,540000
1932,Montana,540000
1933,Montana,541000
1934,Montana,545000
1935,Montana,550000
1936,Montana,554000
1937,Montana,554000
1938,Montana,552000
1939,Montana,555000
1940,Montana,558000
1941,Montana,543000
1942,Montana,518000
1943,Montana,485000
1944,Montana,469000
1945,Montana,477000
1946,Montana,514000
1947,Montana,531000
1948,Montana,542000
1949,Montana,569000
1950,Montana,593000
1951,Montana,596000
1952,Montana,602000
1953,Montana,616000
1954,Montana,624000
1955,Montana,636000
1956,Montana,656000
1957,Montana,667000
1958,Montana,666000
1959,Montana,669000
1960,Montana,679000
1961,Montana,696000
1962,Montana,698000
1963,Montana,703000
1964,Montana,706000
1965,Montana,706000
1966,Montana,707000
1967,Montana,701000
1968,Montana,700000
1969,Montana,694000
1970,Montana,694409
1971,Montana,710814
1972,Montana,718732
1973,Montana,726798
1974,Montana,736419
1975,Montana,748208
1976,Montana,757317
1977,Montana,769953
1978,Montana,782317
1979,Montana,787305
1980,Montana,788752
1981,Montana,795328
1982,Montana,803986
1983,Montana,814031
1984,Montana,820905
1985,Montana,822320
1986,Montana,813739
1987,Montana,805063
1988,Montana,800202
1989,Montana,799636
1990,Montana,799824
1991,Montana,807837
1992,Montana,822436
1993,Montana,839876
1994,Montana,854923
1995,Montana,868522
1996,Montana,876656
1997,Montana,878706
1998,Montana,879533
1999,Montana,882779
2000,Montana,903773
2001,Montana,906961
2002,Montana,911667
2003,Montana,919630
2004,Montana,930009
2005,Montana,940102
2006,Montana,952692
2007,Montana,964706
2008,Montana,976415
2009,Montana,983982
2010,Montana,990697
2011,Montana,997316
2012,Montana,1003783
2013,Montana,1013569
2014,Montana,1021869
2015,Montana,1030475
2016,Montana,1040859
2017,Montana,1052482
2018,Montana,1060665
2019,Montana,1068778
1900,North Carolina,1897000
1901,North Carolina,1926000
1902,North Carolina,1956000
1903,North Carolina,1986000
1904,North Carolina,2017000
1905,North Carolina,2051000
1906,North Carolina,2077000
1907,North Carolina,2105000
1908,North Carolina,2142000
1909,North Carolina,2174000
1910,North Carolina,2221000
1911,North Carolina,2276000
1912,North Carolina,2313000
1913,North Carolina,2362000
1914,North Carolina,2421000
1915,North Carolina,2473000
1916,North Carolina,2513000
1917,North Carolina,2546000
1918,North Carolina,2522000
1919,North Carolina,2535000
1920,North Carolina,2588000
1921,North Carolina,2651000
1922,North Carolina,2700000
1923,North Carolina,2761000
1924,North Carolina,2830000
1925,North Carolina,2895000
1926,North Carolina,2959000
1927,North Carolina,3027000
1928,North Carolina,3082000
1929,North Carolina,3133000
1930,North Carolina,3167000
1931,North Carolina,3184000
1932,North Carolina,3227000
1933,North Carolina,3268000
1934,North Carolina,3304000
1935,North Carolina,3323000
1936,North Carolina,3346000
1937,North Carolina,3385000
1938,North Carolina,3440000
1939,North Carolina,3514000
1940,North Carolina,3574000
1941,North Carolina,3589000
1942,North Carolina,3569000
1943,North Carolina,3654000
1944,North Carolina,3560000
1945,North Carolina,3533000
1946,North Carolina,3706000
1947,North Carolina,3769000
1948,North Carolina,3837000
1949,North Carolina,3911000
1950,North Carolina,4068000
1951,North Carolina,4120000
1952,North Carolina,4109000
1953,North Carolina,4120000
1954,North Carolina,4131000
1955,North Carolina,4242000
1956,North Carolina,4309000
1957,North Carolina,4368000
1958,North Carolina,4376000
1959,North Carolina,4458000
1960,North Carolina,4573000
1961,North Carolina,4663000
1962,North Carolina,4707000
1963,North Carolina,4742000
1964,North Carolina,4802000
1965,North Carolina,4863000
1966,North Carolina,4896000
1967,North Carolina,4952000
1968,North Carolina,5004000
1969,North Carolina,5031000
1970,North Carolina,5084411
1971,North Carolina,5203531
1972,North Carolina,5301150
1973,North Carolina,5389852
1974,North Carolina,5470911
1975,North Carolina,5547188
1976,North Carolina,5607964
1977,North Carolina,5685607
1978,North Carolina,5759492
1979,North Carolina,5823491
1980,North Carolina,5898980
1981,North Carolina,5956653
1982,North Carolina,6019101
1983,North Carolina,6077056
1984,North Carolina,6164006
1985,North Carolina,6253954
1986,North Carolina,6321578
1987,North Carolina,6403700
1988,North Carolina,6480594
1989,North Carolina,6565459
1990,North Carolina,6656987
1991,North Carolina,6748135
1992,North Carolina,6831850
1993,North Carolina,6947412
1994,North Carolina,7060959
1995,North Carolina,7185403
1996,North Carolina,7307658
1997,North Carolina,7428672
1998,North Carolina,7545828
1999,North Carolina,7650789
2000,North Carolina,8081614
2001,North Carolina,8210122
2002,North Carolina,8326201
2003,North Carolina,8422501
2004,North Carolina,8553152
2005,North Carolina,8705407
2006,North Carolina,8917270
2007,North Carolina,9118037
2008,North Carolina,9309449
2009,North Carolina,9449566
2010,North Carolina,9574323
2011,North Carolina,9657592
2012,North Carolina,9749476
2013,North Carolina,9843336
2014,North Carolina,9932887
2015,North Carolina,10031646
2016,North Carolina,10154788
2017,North Carolina,10268233
2018,North Carolina,10381615
2019,North Carolina,10488084
1900,North Dakota,321000
1901,North Dakota,346000
1902,North Dakota,371000
1903,North Dakota,396000
1904,North Dakota,421000
1905,North Dakota,446000
1906,North Dakota,474000
1907,North Dakota,501000
1908,North Dakota,528000
1909,North Dakota,555000
1910,North Dakota,580000
1911,North Dakota,584000
1912,North Dakota,603000
1913,North Dakota,609000
1914,North Dakota,620000
1915,North Dakota,641000
1916,North Dakota,652000
1917,North Dakota,661000
1918,North Dakota,636000
1919,North Dakota,648000
1920,North Dakota,646000
1921,North Dakota,646000
1922,North Dakota,647000
1923,North Dakota,648000
1924,North Dakota,642000
1925,North Dakota,643000
1926,North Dakota,651000
1927,North Dakota,657000
1928,North Dakota,665000
1929,North Dakota,674000
1930,North Dakota,682000
1931,North Dakota,680000
1932,North Dakota,676000
1933,North Dakota,674000
1934,North Dakota,672000
1935,North Dakota,670000
1936,North Dakota,664000
1937,North Dakota,655000
1938,North Dakota,647000
1939,North Dakota,644000
1940,North Dakota,640000
1941,North Dakota,615000
1942,North Dakota,583000
1943,North Dakota,546000
1944,North Dakota,534000
1945,North Dakota,546000
1946,North Dakota,570000
1947,North Dakota,578000
1948,North Dakota,580000
1949,North Dakota,597000
1950,North Dakota,619000
1951,North Dakota,604000
1952,North Dakota,608000
1953,North Dakota,609000
1954,North Dakota,611000
1955,North Dakota,615000
1956,North Dakota,613000
1957,North Dakota,612000
1958,North Dakota,606000
1959,North Dakota,618000
1960,North Dakota,634000
1961,North Dakota,641000
1962,North Dakota,637000
1963,North Dakota,644000
1964,North Dakota,649000
1965,North Dakota,649000
1966,North Dakota,647000
1967,North Dakota,626000
1968,North Dakota,621000
1969,North Dakota,621000
1970,North Dakota,617792
1971,North Dakota,626760
1972,North Dakota,631119
1973,North Dakota,632675
1974,North Dakota,634559
1975,North Dakota,638886
1976,North Dakota,645797
1977,North Dakota,649769
1978,North Dakota,651301
1979,North Dakota,652896
1980,North Dakota,654380
1981,North Dakota,659505
1982,North Dakota,668972
1983,North Dakota,676688
1984,North Dakota,680497
1985,North Dakota,676980
1986,North Dakota,669512
1987,North Dakota,661136
1988,North Dakota,655331
1989,North Dakota,646351
1990,North Dakota,637364
1991,North Dakota,634199
1992,North Dakota,635427
1993,North Dakota,637229
1994,North Dakota,639762
1995,North Dakota,641548
1996,North Dakota,642858
1997,North Dakota,640945
1998,North Dakota,637808
1999,North Dakota,633666
2000,North Dakota,642023
2001,North Dakota,639062
2002,North Dakota,638168
2003,North Dakota,638817
2004,North Dakota,644705
2005,North Dakota,646089
2006,North Dakota,649422
2007,North Dakota,652822
2008,North Dakota,657569
2009,North Dakota,664968
2010,North Dakota,674715
2011,North Dakota,685225
2012,North Dakota,701176
2013,North Dakota,722036
2014,North Dakota,737401
2015,North Dakota,754066
2016,North Dakota,754434
2017,North Dakota,754942
2018,North Dakota,758080
2019,North Dakota,762062
1900,Nebraska,1067000
1901,Nebraska,1078000
1902,Nebraska,1089000
1903,Nebraska,1104000
1904,Nebraska,1119000
1905,Nebraska,1129000
1906,Nebraska,1138000
1907,Nebraska,1149000
1908,Nebraska,1161000
1909,Nebraska,1177000
1910,Nebraska,1198000
1911,Nebraska,1216000
1912,Nebraska,1232000
1913,Nebraska,1246000
1914,Nebraska,1264000
1915,Nebraska,1272000
1916,Nebraska,1275000
1917,Nebraska,1285000
1918,Nebraska,1266000
1919,Nebraska,1290000
1920,Nebraska,1300000
1921,Nebraska,1309000
1922,Nebraska,1312000
1923,Nebraska,1321000
1924,Nebraska,1333000
1925,Nebraska,1343000
1926,Nebraska,1353000
1927,Nebraska,1365000
1928,Nebraska,1371000
1929,Nebraska,1375000
1930,Nebraska,1380000
1931,Nebraska,1384000
1932,Nebraska,1386000
1933,Nebraska,1385000
1934,Nebraska,1382000
1935,Nebraska,1375000
1936,Nebraska,1358000
1937,Nebraska,1339000
1938,Nebraska,1326000
1939,Nebraska,1318000
1940,Nebraska,1316000
1941,Nebraska,1272000
1942,Nebraska,1239000
1943,Nebraska,1241000
1944,Nebraska,1216000
1945,Nebraska,1211000
1946,Nebraska,1256000
1947,Nebraska,1265000
1948,Nebraska,1265000
1949,Nebraska,1302000
1950,Nebraska,1327000
1951,Nebraska,1316000
1952,Nebraska,1311000
1953,Nebraska,1318000
1954,Nebraska,1340000
1955,Nebraska,1374000
1956,Nebraska,1397000
1957,Nebraska,1394000
1958,Nebraska,1383000
1959,Nebraska,1397000
1960,Nebraska,1417000
1961,Nebraska,1446000
1962,Nebraska,1464000
1963,Nebraska,1476000
1964,Nebraska,1482000
1965,Nebraska,1471000
1966,Nebraska,1456000
1967,Nebraska,1457000
1968,Nebraska,1467000
1969,Nebraska,1474000
1970,Nebraska,1485333
1971,Nebraska,1504604
1972,Nebraska,1519013
1973,Nebraska,1529567
1974,Nebraska,1539191
1975,Nebraska,1543117
1976,Nebraska,1550911
1977,Nebraska,1556842
1978,Nebraska,1563884
1979,Nebraska,1567344
1980,Nebraska,1572296
1981,Nebraska,1578515
1982,Nebraska,1581780
1983,Nebraska,1584293
1984,Nebraska,1588639
1985,Nebraska,1584664
1986,Nebraska,1574333
1987,Nebraska,1566547
1988,Nebraska,1571477
1989,Nebraska,1574864
1990,Nebraska,1580664
1991,Nebraska,1590805
1992,Nebraska,1602406
1993,Nebraska,1612149
1994,Nebraska,1621551
1995,Nebraska,1635142
1996,Nebraska,1647657
1997,Nebraska,1656042
1998,Nebraska,1660772
1999,Nebraska,1666028
2000,Nebraska,1713820
2001,Nebraska,1719836
2002,Nebraska,1728292
2003,Nebraska,1738643
2004,Nebraska,1749370
2005,Nebraska,1761497
2006,Nebraska,1772693
2007,Nebraska,1783440
2008,Nebraska,1796378
2009,Nebraska,1812683
2010,Nebraska,1829542
2011,Nebraska,1840672
2012,Nebraska,1853303
2013,Nebraska,1865279
2014,Nebraska,1879321
2015,Nebraska,1891277
2016,Nebraska,1905616
2017,Nebraska,1915947
2018,Nebraska,1925614
2019,Nebraska,1934408
1900,New Hampshire,412000
1901,New Hampshire,412000
1902,New Hampshire,409000
1903,New Hampshire,394000
1904,New Hampshire,407000
1905,New Hampshire,423000
1906,New Hampshire,415000
1907,New Hampshire,423000
1908,New Hampshire,428000
1909,New Hampshire,431000
1910,New Hampshire,431000
1911,New Hampshire,432000
1912,New Hampshire,434000
1913,New Hampshire,439000
1914,New Hampshire,442000
1915,New Hampshire,443000
1916,New Hampshire,445000
1917,New Hampshire,447000
1918,New Hampshire,440000
1919,New Hampshire,443000
1920,New Hampshire,444000
1921,New Hampshire,449000
1922,New Hampshire,451000
1923,New Hampshire,453000
1924,New Hampshire,457000
1925,New Hampshire,459000
1926,New Hampshire,463000
1927,New Hampshire,466000
